0.5767725098,-0.0264827246,-0.0048038431,0.0130399348,0.0047808765,0.0089722675,0.0048270314,-0.4110851493
0.5147132170,-0.0168986841,0.0011629987,0.0040225261,0.0071371927,0.0008084074,-0.0056044836,0.0349569227
0.5492283129,-0.0299201403,-0.0147880756,-0.0048076923,-0.0031496063,-0.0008077544,0.0161030596,-0.2407352060
0.5128205128,-0.0128010488,-0.0010273999,0.0169082126,0.0071090047,0.0064672595,-0.0126782884,0.0331641273
0.5769230769,-0.0870342550,-0.0779150482,-0.0134600158,0.0596078431,-0.0008032129,0.0834670947,1.8218585398
0.6731662024,-0.0715812167,-0.0700770677,0.0834670947,0.0266469282,0.0795819936,-0.0022222222,-0.1646960715
0.6937799043,-0.0591717980,-0.0634956700,-0.0029629630,-0.0187454939,-0.0081906180,-0.0014847810,-0.4929022130
0.6828729282,-0.0493616502,-0.0580919837,-0.0007429421,-0.0073475386,-0.0015015015,-0.0007434944,0.2837113516
0.7167235495,-0.0502474833,-0.0621624235,-0.0007434944,0.0066617321,0.0075187970,0.0089285714,-0.3678950419
0.7097902098,-0.0652650751,-0.0799484350,0.0089285714,0.0220588235,0.0082089552,0.0243362832,0.3750865552
0.7113402062,-0.0449101491,-0.0639174458,0.0243362832,0.0028776978,0.0125832717,-0.0107991361,0.3555272053
0.7202572347,-0.0393991499,-0.0605502871,-0.0115190785,-0.0100430416,-0.0043859649,0.0014556041,-0.3647884665
0.7907608696,-0.0110577943,-0.0343089598,0.0021849964,-0.0014492754,-0.0220264317,-0.0225290698,0.5700720151
0.7335701599,-0.0086195093,-0.0310471443,-0.0225290698,-0.0195936139,0.0000000000,-0.0007434944,0.0440106448
0.7826086957,-0.0043301277,-0.0258480942,0.0000000000,-0.0037009623,-0.0067567568,-0.0029761905,-0.3508507243
0.7893825736,-0.0006809122,-0.0210110655,-0.0037174721,0.0014858841,0.0015117158,-0.0029850746,-0.2492268036
0.8152369526,-0.0005761565,-0.0194546903,-0.0037313433,0.0044510386,0.0015094340,0.0000000000,-0.1576742164
0.8319559229,-0.0071757046,-0.0245845148,0.0000000000,0.0022156573,-0.0045214770,0.0067365269,0.8550313172
0.6473988439,-0.0498695834,-0.0658257472,0.0074906367,0.0567428150,0.0158970477,0.0460966543,1.9657234597
0.7401433692,-0.0455889923,-0.0642750147,0.0460966543,-0.0083682008,0.0312965723,0.0035536603,-0.6839961204
0.6871508380,-0.0289472999,-0.0500955868,0.0028429282,-0.0056258790,0.0014450867,-0.0099150142,-0.0894818946
0.6406250000,-0.0216947124,-0.0436484605,-0.0099220411,-0.0014144272,0.0043290043,-0.0028612303,-0.1644103971
0.6803852890,-0.0176523673,-0.0397263792,-0.0021474588,0.0007082153,0.0000000000,-0.0007173601,-0.3989971675
0.6782608696,-0.0135202801,-0.0353987581,-0.0014347202,-0.0077848549,-0.0043103448,-0.0014357502,-0.1962654734
0.7188940092,-0.0142748169,-0.0355500282,-0.0014367816,0.0021398003,-0.0021645022,0.0028756290,0.7561172358
0.7239819005,-0.0127863713,-0.0336094459,0.0035971223,-0.0035587189,0.0028922632,0.0007168459,-0.4637897252
0.7907949791,-0.0136454680,-0.0338880862,0.0007168459,0.0114285714,-0.0007209805,0.0028653295,1.0597577338
0.7456140351,-0.0015617830,-0.0215937956,0.0021489971,-0.0120056497,-0.0086580087,-0.0100000000,-0.2809412171
0.6854838710,-0.0013215087,-0.0199942552,-0.0100071480,-0.0035739814,-0.0050946143,0.0000000000,0.5467499631
0.6692913386,-0.0181204431,-0.0352193576,0.0007220217,0.0143472023,-0.0043891734,0.0173160173,0.1220095088
0.6898734177,-0.0111247026,-0.0284763732,0.0165945166,0.0127298444,0.0264511389,-0.0042553191,-0.1335514142
0.7092198582,-0.0143275313,-0.0311972254,-0.0028388928,-0.0111731844,0.0028632785,0.0049857550,-0.3767491833
0.5232558140,-0.0149158801,-0.0316315175,0.0049822064,0.0134180791,0.0064239829,0.0028348689,0.4523432776
0.5176470588,-0.0055935217,-0.0223794631,0.0028328612,-0.0006968641,-0.0035460993,-0.0070671378,0.2796123114
0.5432098765,0.0009664733,-0.0151138323,-0.0084745763,-0.0174337517,-0.0092526690,-0.0056939502,-0.4039529573
0.5176470588,0.0008177851,-0.0139942892,-0.0049857550,-0.0028388928,-0.0057471264,0.0000000000,-0.0747606190
0.4782608696,-0.0064202666,-0.0199729014,0.0000000000,0.0071174377,0.0079479769,0.0071581961,0.4373103227
0.4481327801,-0.0117539366,-0.0247318164,0.0071581961,0.0063604240,0.0050179211,0.0063965885,0.2423238913
0.4701195219,-0.0050269868,-0.0180455354,0.0063965885,0.0077247191,0.0028530670,-0.0049435028,0.3272404153
0.5178571429,0.0144661400,0.0017767606,-0.0056497175,-0.0174216028,-0.0170697013,-0.0184528034,-0.0390154563
0.4771723122,-0.0071427502,-0.0175352903,-0.0170454545,0.0028368794,-0.0043415340,0.0195227766,-0.1705570198
0.5421686747,0.0046438348,-0.0056582765,0.0187861272,0.0042432815,0.0109011628,-0.0106382979,0.2369144842
0.5294117647,0.0435778772,0.0340472376,-0.0106382979,-0.0133802817,-0.0517613228,-0.0379928315,1.8959452776
0.3896484375,0.0322584240,0.0269338615,-0.0372759857,-0.0285510350,0.0113722517,0.0044709389,-0.6115560676
0.3461538462,0.0250144002,0.0226628048,0.0029784066,-0.0014695077,0.0014992504,0.0022255193,0.7022155448
0.3314606742,0.0196565468,0.0194748633,0.0029695620,0.0080941869,-0.0014970060,0.0014803849,-0.5425167729
0.3238636364,0.0349915139,0.0364166110,0.0007401925,-0.0065693431,-0.0074962519,-0.0177383592,0.0188742768
0.3000000000,0.0311599874,0.0352770633,-0.0170118343,-0.0161645849,-0.0060422961,-0.0015048909,-0.4072313238
0.3097826087,0.0279153751,0.0342226855,-0.0015048909,0.0014936520,-0.0113981763,-0.0015071590,0.9738099531
0.3401534527,0.0243938294,0.0324668921,-0.0007535795,-0.0044742729,0.0084550346,-0.0007547170,-0.4928127939
0.3664717349,0.0168010495,0.0261866100,-0.0015082956,-0.0037453184,-0.0182926829,0.0037764350,0.8073917052
0.3460764588,0.0172780576,0.0273389271,0.0037764350,0.0150375940,0.0248447205,-0.0030097818,-0.0161380211
0.3513789581,0.0184631521,0.0291975859,-0.0022573363,-0.0140740741,-0.0189393939,-0.0037735849,-0.6058600824
0.3935926773,-0.0320419346,-0.0211653875,-0.0045248869,0.0435762585,0.0193050193,0.0492424242,1.4123060892
0.5500848896,-0.0423245789,-0.0349272564,0.0484848485,0.0208783297,0.0477272727,0.0158844765,0.1563006969
0.5690607735,-0.0233182427,-0.0198001825,0.0166184971,0.0014104372,0.0036153290,-0.0127931770,-0.6372846665
0.6821192053,-0.0183173107,-0.0169179774,-0.0127931770,-0.0091549296,-0.0007204611,-0.0014398848,-0.3074226457
0.7279549719,-0.0336146339,-0.0337771190,-0.0014398848,0.0063965885,0.0000000000,0.0187454939,-0.1035077959
0.7680000000,-0.0249930209,-0.0278350360,0.0187454939,0.0098870056,0.0144196107,-0.0035385704,0.9413102779
0.8082191781,-0.0084721587,-0.0131572946,-0.0035385704,-0.0125874126,-0.0127931770,-0.0127840909,0.0154735528
0.8232558140,-0.0135557985,-0.0185374735,-0.0134943182,-0.0049575071,-0.0021598272,0.0064748201,-0.5098993542
0.7869868319,-0.0093459435,-0.0150522163,0.0079193665,0.0007117438,0.0028860029,-0.0021443888,0.5127707745
0.7839506173,-0.0135610513,-0.0195558286,-0.0021428571,-0.0007112376,0.0000000000,0.0057306590,-0.4041032959
0.7411764706,-0.0029529662,-0.0096426560,0.0050107373,0.0000000000,0.0000000000,-0.0085470085,0.3447701540
0.7563636364,-0.0207885331,-0.0271003612,-0.0078347578,0.0398576512,-0.0021582734,0.0186781609,5.2389566992
