Date,AdjClose
2017-08-26,4333.56
2017-08-26,4313.98
2017-08-26,4300.0
2017-08-26,4337.44
2017-08-27,4354.0
2017-08-27,4379.32
2017-08-27,4368.1
2017-08-27,4314.91
2017-08-27,4328.0
2017-08-27,4320.52
2017-08-27,4314.9
2017-08-27,4313.84
2017-08-27,4302.14
2017-08-27,4320.81
2017-08-27,4302.73
2017-08-27,4323.37
2017-08-27,4298.66
2017-08-27,4312.69
2017-08-27,4312.19
2017-08-27,4325.0
2017-08-27,4306.0
2017-08-27,4340.0
2017-08-27,4368.41
2017-08-27,4368.41
2017-08-27,4345.0
2017-08-27,4370.0
2017-08-27,4315.16
2017-08-27,4310.01
2017-08-28,4282.2
2017-08-28,4280.04
2017-08-28,4295.0
2017-08-28,4239.37
2017-08-28,4227.0
2017-08-28,4169.01
2017-08-28,4221.04
2017-08-28,4261.9
2017-08-28,4252.7
2017-08-28,4227.0
2017-08-28,4290.77
2017-08-28,4308.0
2017-08-28,4280.0
2017-08-28,4347.0
2017-08-28,4291.13
2017-08-28,4273.59
2017-08-28,4322.65
2017-08-28,4324.67
2017-08-28,4312.7
2017-08-28,4321.65
2017-08-28,4312.43
2017-08-28,4331.47
2017-08-28,4353.32
2017-08-28,4386.69
2017-08-29,4349.44
2017-08-29,4349.54
2017-08-29,4314.78
2017-08-29,4376.99
2017-08-29,4363.16
2017-08-29,4356.76
2017-08-29,4363.21
2017-08-29,4329.02
2017-08-29,4352.52
2017-08-29,4367.4
2017-08-29,4346.86
2017-08-29,4368.5
2017-08-29,4408.08
2017-08-29,4580.0
2017-08-29,4545.87
2017-08-29,4570.0
2017-08-29,4503.92
2017-08-29,4555.55
2017-08-29,4536.63
2017-08-29,4555.55
2017-08-29,4577.54
2017-08-29,4618.93
2017-08-29,4591.88
2017-08-29,4587.48
2017-08-30,4575.23
2017-08-30,4597.55
2017-08-30,4604.12
2017-08-30,4583.61
2017-08-30,4579.61
2017-08-30,4590.49
2017-08-30,4588.0
2017-08-30,4550.02
2017-08-30,4552.69
2017-08-30,4482.0
2017-08-30,4477.1
2017-08-30,4498.35
2017-08-30,4570.0
2017-08-30,4585.31
2017-08-30,4558.16
2017-08-30,4546.77
2017-08-30,4589.99
2017-08-30,4600.0
2017-08-30,4556.0
2017-08-30,4536.82
2017-08-30,4547.74
2017-08-30,4547.26
2017-08-30,4547.9
2017-08-30,4555.14
2017-08-31,4569.66
2017-08-31,4574.8
2017-08-31,4596.54
2017-08-31,4593.66
2017-08-31,4591.56
2017-08-31,4598.54
2017-08-31,4572.99
2017-08-31,4592.16
2017-08-31,4586.51
2017-08-31,4583.02
2017-08-31,4632.96
2017-08-31,4656.67
2017-08-31,4673.87
2017-08-31,4685.55
2017-08-31,4685.55
2017-08-31,4648.82
2017-08-31,4684.98
2017-08-31,4650.55
2017-08-31,4700.13
2017-08-31,4698.77
2017-08-31,4673.14
2017-08-31,4724.71
2017-08-31,4697.0
2017-08-31,4724.89
2017-09-01,4721.05
2017-09-01,4725.0
2017-09-01,4735.96
2017-09-01,4714.73
2017-09-01,4672.0
2017-09-01,4664.14
2017-09-01,4666.66
2017-09-01,4707.5
2017-09-01,4749.99
2017-09-01,4742.46
2017-09-01,4761.42
2017-09-01,4775.0
2017-09-01,4793.0
2017-09-01,4777.02
2017-09-01,4725.81
2017-09-01,4803.83
2017-09-01,4780.8
2017-09-01,4792.97
2017-09-01,4771.08
2017-09-01,4813.24
2017-09-01,4819.67
2017-09-01,4770.63
2017-09-01,4843.17
2017-09-01,4834.91
2017-09-02,4885.55
2017-09-02,4932.38
2017-09-02,4839.96
2017-09-02,4788.07
2017-09-02,4794.11
2017-09-02,4473.35
2017-09-02,4696.44
2017-09-02,4697.71
2017-09-02,4628.86
2017-09-02,4604.02
2017-09-02,4625.56
2017-09-02,4630.01
2017-09-02,4604.97
2017-09-02,4618.39
2017-09-02,4483.94
2017-09-02,4460.19
2017-09-02,4439.0
2017-09-02,4530.01
2017-09-02,4486.06
2017-09-02,4509.77
2017-09-02,4351.19
2017-09-02,4299.53
2017-09-02,4405.0
2017-09-02,4472.14
2017-09-03,4600.53
2017-09-03,4560.0
2017-09-03,4568.91
2017-09-03,4569.54
2017-09-03,4690.79
2017-09-03,4675.12
2017-09-03,4605.12
2017-09-03,4620.87
2017-09-03,4621.44
2017-09-03,4523.47
2017-09-03,4510.09
2017-09-03,4486.0
2017-09-03,4510.99
2017-09-03,4303.1
2017-09-03,4399.93
2017-09-03,4384.15
2017-09-03,4459.11
2017-09-03,4476.13
2017-09-03,4482.04
2017-09-03,4529.0
2017-09-03,4505.18
2017-09-03,4549.0
2017-09-03,4521.19
2017-09-03,4509.08
2017-09-04,4438.11
2017-09-04,4411.81
2017-09-04,4408.0
2017-09-04,4340.51
2017-09-04,4409.65
2017-09-04,4402.0
2017-09-04,4459.77
2017-09-04,4186.96
2017-09-04,4351.95
2017-09-04,4336.42
2017-09-04,4349.23
2017-09-04,4153.0
2017-09-04,4106.81
2017-09-04,4275.19
2017-09-04,4120.01
2017-09-04,4015.03
2017-09-04,4014.83
2017-09-04,3972.53
2017-09-04,4115.03
2017-09-04,4203.67
2017-09-04,4197.24
2017-09-04,4258.4
2017-09-04,4131.88
2017-09-04,4100.11
2017-09-05,3999.99
2017-09-05,3620.0
2017-09-05,4054.11
2017-09-05,3988.04
2017-09-05,4038.01
2017-09-05,3960.01
2017-09-05,4013.46
2017-09-05,4190.4
2017-09-05,4086.8
2017-09-05,4120.05
2017-09-05,4169.76
2017-09-05,4246.82
2017-09-05,4221.83
2017-09-05,4261.04
2017-09-05,4229.0
2017-09-05,4151.0
2017-09-05,4142.69
2017-09-05,4322.47
2017-09-05,4390.14
2017-09-05,4442.48
2017-09-05,4431.61
2017-09-05,4374.43
2017-09-05,4423.46
2017-09-05,4366.47
2017-09-06,4442.05
2017-09-06,4502.83
2017-09-06,4446.0
2017-09-06,4430.02
2017-09-06,4388.48
2017-09-06,4416.17
2017-09-06,4385.51
2017-09-06,4461.29
2017-09-06,4513.52
2017-09-06,4492.66
2017-09-06,4525.39
2017-09-06,4548.13
2017-09-06,4527.04
2017-09-06,4502.77
2017-09-06,4517.97
2017-09-06,4619.43
2017-09-06,4619.43
2017-09-06,4619.77
2017-09-07,4599.78
2017-09-07,4453.01
2017-09-07,4499.95
2017-09-07,4484.03
2017-09-07,4541.17
2017-09-07,4519.48
2017-09-07,4498.4
2017-09-07,4510.25
2017-09-07,4531.07
2017-09-07,4571.66
2017-09-07,4589.4
2017-09-07,4613.94
2017-09-07,4674.0
2017-09-07,4710.0
2017-09-07,4669.81
2017-09-07,4755.0
2017-09-07,4705.03
2017-09-07,4702.06
2017-09-07,4713.67
2017-09-07,4754.21
2017-09-07,4620.0
2017-09-07,4641.13
2017-09-07,4670.45
2017-09-07,4691.61
2017-09-08,4614.49
2017-09-08,4601.01
2017-09-08,4640.97
2017-09-08,4605.05
2017-09-08,4605.03
2017-09-08,4622.0
2017-09-08,4609.46
2017-09-08,4619.01
2017-09-08,4683.77
2017-09-08,4660.72
